Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
Good,< 0 DM,18,critical account,Furniture/Equipment,1049,< 100 DM,< 1 year,4,female: divorced/separated/married,none,>4years,savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,Yes,Yes
Good,< 0 DM,9,critical account,New car,2799,< 100 DM,1<=...<4 years,2,male: single,none,1<...<=2 years,real estate,36,none,rent,2,skilled employee / official,2,Yes,Yes
Good,0 <=...<200 DM,12,existing credits paid back duly till now,Business,841,100<= ... < 500 DM,4<=...<7 years,2,female: divorced/separated/married,none,>4years,real estate,23,none,rent,1,unskilled - resident,1,Yes,Yes
Good,< 0 DM,12,critical account,New car,2122,< 100 DM,1<=...<4 years,3,male: single,none,1<...<=2 years,real estate,39,none,rent,2,unskilled - resident,2,Yes,No
Good,< 0 DM,12,critical account,New car,2171,< 100 DM,1<=...<4 years,4,male: single,none,>4years,savings agreement/ life insurance,38,bank,own,2,unskilled - resident,1,Yes,No
Good,< 0 DM,10,critical account,New car,2241,< 100 DM,< 1 year,1,male: single,none,2<...<=3 years,real estate,48,none,rent,2,unskilled - resident,2,Yes,No
Good,< 0 DM,8,critical account,New car,3398,< 100 DM,4<=...<7 years,1,male: single,none,>4years,real estate,39,none,own,2,unskilled - resident,1,Yes,No
Good,< 0 DM,6,critical account,New car,1361,< 100 DM,< 1 year,2,male: single,none,>4years,real estate,40,none,own,1,unskilled - resident,2,Yes,No
Good,No checking account,18,critical account,Radio/Television,1098,< 100 DM,unemployed,4,female: divorced/separated/married,none,>4years,car or other,65,none,own,2,unemployed/ unskilled - non-resident,1,Yes,Yes
Good,0 <=...<200 DM,24,existing credits paid back duly till now,Radio/Television,3758,500<= ... < 1000 DM,unemployed,1,female: divorced/separated/married,none,>4years,unknown / no property,23,none,rent,1,unemployed/ unskilled - non-resident,1,Yes,Yes
